"minlon" "maxlon" "minlat" "maxlat" "mindepth" "maxdepth" "minmag" "maxmag" "rate" "mask"
-124.6 -124.5 39.7 39.8 0 30 3.05 3.15 0.000150005722141163 1
-124.6 -124.5 39.8 39.9 0 30 3.05 3.15 0.000235808995428892 1
-124.6 -124.5 39.9 40 0 30 3.05 3.15 0.000441616917885937 1
-124.6 -124.5 40 40.1 0 30 3.05 3.15 0.000990037764904249 1
-124.6 -124.5 40.1 40.2 0 30 3.05 3.15 0.00358813759189451 1
-124.6 -124.5 40.2 40.3 0 30 3.05 3.15 0.0560421449908816 1
-124.6 -124.5 40.3 40.4 0 30 3.05 3.15 0.65402502029247 1
-124.6 -124.5 40.4 40.5 0 30 3.05 3.15 0.104403982508699 1
-124.6 -124.5 40.5 40.6 0 30 3.05 3.15 0.0193207369771543 1
-124.6 -124.5 40.6 40.7 0 30 3.05 3.15 0.0168006408602681 1
-124.6 -124.5 40.7 40.8 0 30 3.05 3.15 0.0199207598821997 1
-124.6 -124.5 40.8 40.9 0 30 3.05 3.15 0.00660025249341752 1
-124.6 -124.5 40.9 41 0 30 3.05 3.15 0.0061202341847865 1
-124.6 -124.5 41 41.1 0 30 3.05 3.15 0.0171606545910283 1
-124.6 -124.5 41.1 41.2 0 30 3.05 3.15 0.0117004463204728 1
-124.6 -124.5 41.2 41.3 0 30 3.05 3.15 0.00232208857719453 1
-124.6 -124.5 41.3 41.4 0 30 3.05 3.15 0.00102003890990006 1
-124.6 -124.5 41.4 41.5 0 30 3.05 3.15 0.000804030670592225 1
-124.6 -124.5 41.5 41.6 0 30 3.05 3.15 0.000924035249579538 1
-124.6 -124.5 41.6 41.7 0 30 3.05 3.15 0.000587422479767368 1
-124.6 -124.5 41.7 41.8 0 30 3.05 3.15 0.000363613942297575 1
-124.6 -124.5 41.8 41.9 0 30 3.05 3.15 0.000326412522889705 1
-124.6 -124.5 41.9 42 0 30 3.05 3.15 0.000415215910592976 1
-124.6 -124.5 42 42.1 0 30 3.05 3.15 0.000690026393683231 1
-124.6 -124.5 42.1 42.2 0 30 3.05 3.15 0.000936035705242226 1
-124.6 -124.5 42.2 42.3 0 30 3.05 3.15 0.000930035476034556 1
-124.6 -124.5 42.3 42.4 0 30 3.05 3.15 0.000924035249579538 1
-124.6 -124.5 42.4 42.5 0 30 3.05 3.15 0.000726027766602067 1
-124.6 -124.5 42.5 42.6 0 30 3.05 3.15 0.00073202792416961 1
-124.6 -124.5 42.6 42.7 0 30 3.05 3.15 0.000720027538606505 1
-124.6 -124.5 42.7 42.8 0 30 3.05 3.15 0.00065402502029247 1
-124.6 -124.5 42.8 42.9 0 30 3.05 3.15 0.00053882062526121 1
-124.6 -124.5 42.9 43 0 30 3.05 3.15 0.000342013118510146 1
-124.5 -124.4 38.7 38.8 0 30 3.05 3.15 4.91418817625861e-05 1
-124.5 -124.4 38.8 38.9 0 30 3.05 3.15 5.77222090485007e-05 1
-124.5 -124.4 38.9 39 0 30 3.05 3.15 6.36024333925508e-05 1
-124.5 -124.4 39 39.1 0 30 3.05 3.15 6.42024562544508e-05 1
-124.5 -124.4 39.1 39.2 0 30 3.05 3.15 6.60025249341752e-05 1
-124.5 -124.4 39.2 39.3 0 30 3.05 3.15 7.14027309537835e-05 1
-124.5 -124.4 39.3 39.4 0 30 3.05 3.15 7.62029068547078e-05 1
-124.5 -124.4 39.4 39.5 0 30 3.05 3.15 8.52032501704358e-05 1
-124.5 -124.4 39.5 39.6 0 30 3.05 3.15 0.000102003890990006 1
-124.5 -124.4 39.6 39.7 0 30 3.05 3.15 0.000123004692173880 1
-124.5 -124.4 39.7 39.8 0 30 3.05 3.15 0.000166206340328248 1
-124.5 -124.4 39.8 39.9 0 30 3.05 3.15 0.000254409704587172 1
-124.5 -124.4 39.9 40 0 30 3.05 3.15 0.000492018840629065 1
-124.5 -124.4 40 40.1 0 30 3.05 3.15 0.00117604486255662 1
-124.5 -124.4 40.1 40.2 0 30 3.05 3.15 0.00300611538964013 1
-124.5 -124.4 40.2 40.3 0 30 3.05 3.15 0.188407187107985 1
-124.5 -124.4 40.3 40.4 0 30 3.05 3.15 0.432616574087729 1
-124.5 -124.4 40.4 40.5 0 30 3.05 3.15 0.0942035935007227 1
-124.5 -124.4 40.5 40.6 0 30 3.05 3.15 0.0303011630769301 1
-124.5 -124.4 40.6 40.7 0 30 3.05 3.15 0.0229808766254044 1
-124.5 -124.4 40.7 40.8 0 30 3.05 3.15 0.0344413209684437 1
-124.5 -124.4 40.8 40.9 0 30 3.05 3.15 0.0133205081403006 1
-124.5 -124.4 40.9 41 0 30 3.05 3.15 0.00876033417647216 1
-124.5 -124.4 41 41.1 0 30 3.05 3.15 0.0198007553008184 1
-124.5 -124.4 41.1 41.2 0 30 3.05 3.15 0.0112804302934217 1
-124.5 -124.4 41.2 41.3 0 30 3.05 3.15 0.00205807850971787 1
-124.5 -124.4 41.3 41.4 0 30 3.05 3.15 0.00133205081403006 1
-124.5 -124.4 41.4 41.5 0 30 3.05 3.15 0.00117004463204728 1
-124.5 -124.4 41.5 41.6 0 30 3.05 3.15 0.000852032501704358 1
-124.5 -124.4 41.6 41.7 0 30 3.05 3.15 0.000539420648454486 1
-124.5 -124.4 41.7 41.8 0 30 3.05 3.15 0.000424816277148718 1
-124.5 -124.4 41.8 41.9 0 30 3.05 3.15 0.000377414468784714 1
-124.5 -124.4 41.9 42 0 30 3.05 3.15 0.000375014377038717 1
-124.5 -124.4 42 42.1 0 30 3.05 3.15 0.000515419732933722 1
-124.5 -124.4 42.1 42.2 0 30 3.05 3.15 0.000684026164272611 1
-124.5 -124.4 42.2 42.3 0 30 3.05 3.15 0.00065402502029247 1
-124.5 -124.4 42.3 42.4 0 30 3.05 3.15 0.000624023875923523 1
-124.5 -124.4 42.4 42.5 0 30 3.05 3.15 0.00061202341847865 1
-124.5 -124.4 42.5 42.6 0 30 3.05 3.15 0.000489018726282759 1
-124.5 -124.4 42.6 42.7 0 30 3.05 3.15 0.00049561897770039 1
-124.5 -124.4 42.7 42.8 0 30 3.05 3.15 0.000511819596079716 1
-124.5 -124.4 42.8 42.9 0 30 3.05 3.15 0.000414615887831883 1
-124.5 -124.4 42.9 43 0 30 3.05 3.15 0.000257409818751539 1
-124.4 -124.3 38.6 38.7 0 30 3.05 3.15 4.93218886023891e-05 1
-124.4 -124.3 38.7 38.8 0 30 3.05 3.15 6.18023646791809e-05 1
-124.4 -124.3 38.8 38.9 0 30 3.05 3.15 7.56028839671484e-05 1
-124.4 -124.3 38.9 39 0 30 3.05 3.15 8.58032730244871e-05 1
-124.4 -124.3 39 39.1 0 30 3.05 3.15 9.24035249579538e-05 1
-124.4 -124.3 39.1 39.2 0 30 3.05 3.15 9.30035476034556e-05 1
-124.4 -124.3 39.2 39.3 0 30 3.05 3.15 9.00034334042087e-05 1
-124.4 -124.3 39.3 39.4 0 30 3.05 3.15 9.00034334042087e-05 1
