"Longitude" "Latitude" "dt" "Magnitude" "lambda" "type"
-121.532040617731 41.2202358075883 747.26892240392 2.27392263802467 0.000720027538606505 2
-124.251803912432 42.9719965986442 747.757820255356 2.53798703178763 0.000255009727756647 2
-114.631097550667 33.497002217453 747.902370431926 0.611000264785252 0.000273610509059736 2
-119.663220790168 41.0169301881688 747.929902492324 0.156665505096316 0.000312611996411641 2
-113.463493135292 33.8227676880779 748.21182761644 4.35417183815734 1.63206225501727e-05 2
-114.551592325559 34.7467926178360 749.105515941512 4.73232753005577 4.87818680339423e-05 2
-121.884685465624 35.2245489676716 752.057667215355 4.4902866065735 7.74029525883785e-05 2
-122.032407018752 38.5466436742572 753.134635406546 4.36114957033424 0.000690026393683231 2
-119.528388492297 37.8758220871678 756.634029806592 4.50314129779581 0.00073202792416961 2
-115.792054729094 35.0688612480881 759.488955418579 0.83142522998387 0.000112804302934217 2
-121.609941266268 38.1345016403357 761.083527020644 1.74443165429402 0.000578422136736672 2
-119.542517542583 33.8341648880159 762.507982629817 2.41208236209350 0.00242409247153414 2
-117.341602632171 37.2133072984871 767.057555251056 3.47066557318904 0.00412215796251909 2
-119.451119722053 38.130966888275 768.724535543006 3.56980644478463 0.00191407301459602 2
-120.647818034375 34.8533451462863 769.03885472822 4.50603892654181 0.00178206798256766 2
-122.520625595259 41.5931932223029 769.32773726643 4.31877145171165 0.000342013118510146 2
-120.284366149502 33.5392598742619 771.448453917168 1.90694791493006 0.000690026393683231 2
-121.629380239779 41.4883329551667 774.236561000347 3.35714975410374 0.00083403181496666 2
-120.803263679752 37.4860246751923 775.401749303564 1.07507235252997 0.000295211333112143 2
-116.154416040983 35.5360730297398 777.891013036715 1.54505681254668 0.00223208514686174 2
-121.710765995993 35.9061848809943 785.163007609779 4.72536115588155 0.000642024562544508 2
-116.496215611347 36.1019368118141 788.728250924498 0.913134596287273 0.000307811813522765 2
-116.973083042842 35.3415701851482 788.746976254508 0.471042819565628 0.00144005493201023 2
-117.167670086352 35.1982607367681 789.405806475785 1.08861510475399 0.00297011401469385 2
-120.637724104989 38.1302418499254 792.218981693499 1.03714887482347 0.000216008239749675 2
-117.157819463988 35.4066565894755 792.639739352278 4.94420689078979 0.00165006294476955 2
-120.729579783976 40.0143998932326 793.604528633412 3.71508721931605 0.00398415270018442 2
-119.743078445178 36.7245342958486 793.760024432326 1.71318638826488 0.000529820282092622 2
-115.181501480145 35.8450219263323 795.87098204554 3.87245995744597 0.000738028152664618 2
-119.682401218289 33.5533599375049 799.185308892978 2.75068446375662 0.000481218428811206 2
-122.587504775659 37.4641442149878 802.027429435402 3.43714354798431 0.000453017352530305 2
-116.028234612336 36.1668029740686 806.392849242315 3.52269837210188 0.000828031586147877 2
-119.174732682668 39.7007639224175 807.768820345635 0.0638509464799426 0.000484218542884784 2
-119.266252925643 33.4828533959808 809.206493859645 3.38337928812252 0.0031681215677853 2
-115.073142964533 34.7570730588632 809.725668408442 2.98331007901579 5.76022044481822e-05 2
-118.617444595532 35.7068247287534 809.963424801594 0.903824387909845 0.00225008583339796 2
